qid	run	nDCG@10	delta_nDCG@10	nDCG@20	delta_nDCG@20	Recall@100	delta_Recall@100	Recall@1000	delta_Recall@1000	MAP	delta_MAP
477	Ensemble-o6-m05-b1	0.616542	0.055911	0.511249	0.037064	0.100255	-0.000907	0.291618	0.023627	0.152385	0.019401
499	BM25	0.689916	0.000000	0.704472	0.000000	0.127959	0.000000	0.542132	0.000000	0.392382	0.000000
499	MiniLM-o4	0.703099	0.013183	0.706832	0.002361	0.122739	-0.005221	0.556203	0.014071	0.415322	0.022940
499	BGE-o2	0.777392	0.087476	0.735168	0.030696	0.115129	-0.012830	0.556203	0.014071	0.400409	0.008027
499	BGE-o4	0.739560	0.049644	0.727382	0.022910	0.122278	-0.005681	0.556203	0.014071	0.411942	0.019560
499	Ensemble-o4-m1-b1	0.743088	0.053172	0.760055	0.055583	0.123590	-0.004369	0.556203	0.014071	0.406624	0.014242
499	Ensemble-o6-m1-b1	0.744877	0.054961	0.742831	0.038360	0.124528	-0.003431	0.556203	0.014071	0.412713	0.020331
499	Ensemble-o8-m1-b1	0.739041	0.049125	0.728975	0.024503	0.123130	-0.004830	0.556203	0.014071	0.414962	0.022580
499	Ensemble-o4-m05-b1	0.755435	0.065519	0.752930	0.048458	0.122035	-0.005925	0.556203	0.014071	0.410314	0.017932
499	Ensemble-o4-m1-b05	0.745442	0.055526	0.747832	0.043360	0.123043	-0.004917	0.556203	0.014071	0.411860	0.019478
499	Ensemble-o6-m05-b1	0.748450	0.058534	0.736279	0.031807	0.123677	-0.004283	0.556203	0.014071	0.414125	0.021743
515	BM25	0.289521	0.000000	0.310660	0.000000	0.058788	0.000000	0.119860	0.000000	0.053729	0.000000
515	MiniLM-o4	0.292301	0.002780	0.294202	-0.016458	0.054448	-0.004340	0.202320	0.082460	0.077627	0.023898
515	BGE-o2	0.289693	0.000172	0.310528	-0.000132	0.057206	-0.001582	0.202320	0.082460	0.079879	0.026150
515	BGE-o4	0.300794	0.011273	0.302498	-0.008162	0.057668	-0.001120	0.202320	0.082460	0.078322	0.024593
515	Ensemble-o4-m1-b1	0.290529	0.001008	0.312375	0.001715	0.060181	0.001393	0.202320	0.082460	0.080037	0.026308
